"GameMonth","PtsFor","PtsAgainst","Attendance","PtsForAdj","PtsAgainstAdj"
"August/September",23,12,80795,23,12
"August/September",24,28,80795,24,28
"August/September",31,34,78411,31,34
"August/September",14,37,80795,14,37
"October",31,13,44500,31,13
"October",23,17,80795,23,17
"October",44,20,80795,44,20
"October",17,35,75614,17,35
"October",27,28,80795,27,28
"November",28,3,80795,28,3
"November",27,3,54251,27,3
"November",20,16,85417,20,16
"December/January",33,17,54021,33,17
"August/September",20,23,80795,20,23
"August/September",31,35,114804,31,35
"August/September",31,13,80795,31,13
"August/September",15,12,65050,15,12
"October",38,10,61555,38,10
"October",59,33,80795,59,33
"October",17,31,80795,17,31
"October",56,14,80795,56,14
"November",24,17,36307,16.8,11.9
"November",45,21,70251,45,21
"November",16,14,80795,16,14
"November",14,28,50360,14,28
"December/January",14,18,68305,14,18
"August/September",50,10,48820,50,10
"August/September",20,17,80795,20,17
"August/September",20,3,79219,20,3
"August/September",13,6,80795,13,6
"October",41,3,62871,41,3
"October",20,13,80795,20,13
"October",17,14,80795,17,14
"October",30,13,86031,30,13
"November",29,26,80795,29,26
"November",21,6,44500,21,6
"November",38,0,80795,38,1e-05
"November",22,13,93607,22,13
"December/January",14,42,80120,14,42
"August/September",28,6,80795,28,6
"August/September",30,41,115109,30,41
"August/September",31,24,61127,31,24
"August/September",17,13,80795,17,13
"August/September",21,35,80795,21,35
"October",37,34,66960,37,34
"October",14,10,80795,14,10
"October",45,10,44672,45,10
"November",38,34,80795,38,34
"November",21,28,65500,21,28
"November",23,13,80795,23,13
"November",20,27,50537,20,27
"December/January",29,16,47122,29,16
"August/September",48,17,80795,48,17
"August/September",31,0,80795,31,1e-05
"August/September",30,14,56832,30,14
"August/September",31,15,76802,31,15
"October",17,14,80795,17,14
"October",50,43,80795,50,43
"October",27,31,82431,27,31
"November",49,39,36807,34.3,27.3
"November",31,55,65870,31,55
"November",40,43,80795,40,43
"November",28,31,80795,28,31
"November",14,49,79586,14,49
"December/January",31,28,60419,31,28
"August/September",38,3,80795,38,3
"August/September",34,27,58200,34,27
"August/September",30,22,80795,30,22
"August/September",62,27,80795,62,27
"October",22,24,82415,22,24
"October",41,24,80795,41,24
"October",41,31,80795,41,31
"October",24,20,69280,24,20
"November",42,30,68400,42,30
"November",28,7,80795,28,7
"November",19,16,38686,13.3,11.2
"November",36,38,51424,36,38
"December/January",28,44,71123,28,44
"August/September",47,50,102315,47,50
"August/September",39,10,80795,39,10
"August/September",28,36,80795,28,36
"August/September",35,38,80795,35,38
"October",50,33,62794,50,33
"October",3,10,58200,3,10
"October",10,17,80795,10,17
"October",30,27,80795,30,27
"November",27,28,50867,27,28
"November",44,6,45762,44,6
"November",31,34,80795,31,34
"November",27,45,72402,27,45
"August/September",49,16,77622,49,16
"August/September",19,20,77622,19,20
"August/September",49,20,44500,49,20
"August/September",38,18,74023,38,18
"August/September",52,17,77622,52,17
"October",33,10,57000,33,10
"October",49,14,77622,49,14
"October",35,14,77622,35,14
"November",48,37,77622,48,37
"November",8,41,65303,8,41
"November",24,17,77622,24,17
"November",20,38,47352,20,38
"December/January",21,17,57726,21,17
"August/September",24,17,77622,24,17
"August/September",24,16,77622,24,16
"August/September",22,17,77622,22,17
"August/September",56,27,31092,39.2,18.9
"August/September",38,17,77622,38,17
"October",45,23,65632,45,23
"October",19,14,77622,19,14
"October",44,22,63626,44,22
"November",31,21,47330,31,21
"November",42,13,77622,42,13
"November",36,3,48104,36,3
"November",24,17,59821,24,17
"December/January",3,30,72183,3,30
